country,MEP,party,handle
CH,Kathrin Bertschy,,
CH,Hans-Ulrich Bigler,,
CH,Prisca Birrer-Heimo,,
CH,Frédéric Borloz,,
CH,Jacques Bourgeois,,
CH,Heinz Brand,,
CH,Philipp Matthias Bregy,,pmbregy
CH,Hansjörg Brunner,,
CH,Toni Brunner,,SVPBrunner
CH,Daniel Brélaz,,
CH,Michaël Buffat,,
CH,Christine Bulliard-Marbach,,
CH,Thomas Burgherr,,
CH,Thierry Burkart,,
CH,Martin Bäumle,,
CH,Claude Béglé,,
CH,Roland Rino Büchel,,
CH,Manfred Bühler,,
CH,Duri Campell,,
CH,Martin Candinas,,
CH,Marina Carobbio Guscetti,,MarinaCarobbio
CH,Rocco Cattaneo,,
CH,Isabelle Chevalley,,I_Chevalley
CH,Marco Chiesa,,
CH,Raymond Clottu,,
CH,Brigitte Crottaz,,
CH,Fathi Derder,,fderder
CH,Marcel Dettling,,
CH,Marcel Dobler,,
CH,Mike Egger,,
CH,Thomas Egger,,
CH,Hans Egloff,,
CH,Corina Eichenberger-Walther,,
CH,Yvette Estermann,,Yvette67Yvette
CH,Christoph Eymann,,
CH,Laurence Fehlmann Rielle,,
CH,Olivier Feller,,
CH,Yvonne Feri,,yferi
CH,Doris Fiala,,
CH,Beat Flach,,beatflach
CH,Kurt Fluri,,
CH,Sylvia Flückiger-Bäni,,
CH,Sebastian Frehner,,
CH,Daniel Frei,,
CH,Pierre-Alain Fridez,,
CH,Claudia Friedl,,
CH,Daniel Fässler,,
CH,Andrea Martina Geissbühler,,
CH,Benoît Genecand,,
CH,Ulrich Giezendanner,,
CH,Bastien Girod,,bastiengirod
CH,Ida Glanzmann-Hunkeler,,
CH,Andreas Glarner,,
CH,Alice Glauser-Zufferey,,
CH,Balthasar Glättli,,bglaettli
CH,Alois Gmür,,
CH,Andrea Gmür-Schönenberger,,
CH,Roger Golay,,
CH,Maya Graf,,
CH,Edith Graf-Litscher,,EdithGraf
CH,Jean-Pierre Grin,,
CH,Jürg Grossen,,Juerg_Grossen
